"id","bin","behav","prop","param"
"5_1",3,"1",0.152664032478078,"Turning Angle"
"5_1",4,"1",0.0454060638786472,"Turning Angle"
"5_1",5,"1",0.0159604091895422,"Turning Angle"
"5_1",6,"1",0.141962874439182,"Turning Angle"
"5_1",7,"1",0.0282616287265753,"Turning Angle"
"5_1",8,"1",0.298293714325625,"Turning Angle"
"5_1",1,"2",0.00108878546441235,"Turning Angle"
"5_1",2,"2",0.0278359181616892,"Turning Angle"
"5_1",3,"2",0.0860585168955367,"Turning Angle"
"5_1",4,"2",0.348242080690309,"Turning Angle"
"5_1",5,"2",0.299884763243617,"Turning Angle"
"5_1",6,"2",0.154748479847933,"Turning Angle"
"5_1",7,"2",0.0811538039644847,"Turning Angle"
"5_1",8,"2",0.000987651732017597,"Turning Angle"
"5_1",1,"3",0.00314863190525596,"Turning Angle"
"5_1",2,"3",0.347815883198272,"Turning Angle"
"5_1",3,"3",0.00440915345318937,"Turning Angle"
"5_1",4,"3",0.0186181184680709,"Turning Angle"
"5_1",5,"3",0.317342882733117,"Turning Angle"
"5_1",6,"3",0.0422806088488056,"Turning Angle"
"5_1",7,"3",0.250814325700325,"Turning Angle"
"5_1",8,"3",0.0155703956929644,"Turning Angle"
"1_2",1,"1",0.111099312369564,"Step Length"
"1_2",2,"1",0.197832782981546,"Step Length"
"1_2",3,"1",0.512770081925107,"Step Length"
"1_2",4,"1",0.153675733406438,"Step Length"
"1_2",5,"1",0.0246220893173447,"Step Length"
"1_2",1,"2",0.553688676123498,"Step Length"
"1_2",2,"2",0.412180397571138,"Step Length"
"1_2",3,"2",0.00229880586293993,"Step Length"
"1_2",4,"2",0.000613065319977044,"Step Length"
"1_2",5,"2",0.0312190551224476,"Step Length"
"1_2",1,"3",0.00257550953516826,"Step Length"
"1_2",2,"3",0.00167371496565679,"Step Length"
"1_2",3,"3",0.00549049154723925,"Step Length"
"1_2",4,"3",0.502185308726315,"Step Length"
"1_2",5,"3",0.488074975225621,"Step Length"
"1_2",1,"1",0.118123086626933,"Turning Angle"
"1_2",2,"1",0.112736945884032,"Turning Angle"
"1_2",3,"1",0.121872541939334,"Turning Angle"
"1_2",4,"1",0.154390365562904,"Turning Angle"
"1_2",5,"1",0.130670441697633,"Turning Angle"
"1_2",6,"1",0.118314972338582,"Turning Angle"
"1_2",7,"1",0.122235296456733,"Turning Angle"
"1_2",8,"1",0.121656349493849,"Turning Angle"
"1_2",1,"2",0.259631173004162,"Turning Angle"
"1_2",2,"2",0.101471626946534,"Turning Angle"
"1_2",3,"2",0.0889447950050314,"Turning Angle"
"1_2",4,"2",0.0742878422427554,"Turning Angle"
"1_2",5,"2",0.073229191479456,"Turning Angle"
"1_2",6,"2",0.0830365734510026,"Turning Angle"
"1_2",7,"2",0.0825572704815721,"Turning Angle"
"1_2",8,"2",0.236841527389487,"Turning Angle"
"1_2",1,"3",0.000440192219069417,"Turning Angle"
"1_2",2,"3",0.0431224647109173,"Turning Angle"
"1_2",3,"3",0.196603774925954,"Turning Angle"
"1_2",4,"3",0.286601632721593,"Turning Angle"
"1_2",5,"3",0.309331081513856,"Turning Angle"
"1_2",6,"3",0.127559438781973,"Turning Angle"
"1_2",7,"3",0.0359483208526107,"Turning Angle"
"1_2",8,"3",0.000393094274025476,"Turning Angle"
"2_2",1,"1",0.380330617635447,"Step Length"
"2_2",2,"1",0.371083664597776,"Step Length"
"2_2",3,"1",0.168858731103203,"Step Length"
"2_2",4,"1",0.047041739399673,"Step Length"
"2_2",5,"1",0.0326852472639019,"Step Length"
"2_2",1,"2",0.0021195203390043,"Step Length"
"2_2",2,"2",0.0379778412344786,"Step Length"
"2_2",3,"2",0.757435722068285,"Step Length"
"2_2",4,"2",0.196392052958076,"Step Length"
"2_2",5,"2",0.00607486340015618,"Step Length"
"2_2",1,"3",0.000889202975556248,"Step Length"
"2_2",2,"3",0.00198593212261877,"Step Length"
"2_2",3,"3",0.000744878074598994,"Step Length"
"2_2",4,"3",0.498359517700774,"Step Length"
"2_2",5,"3",0.498020469126452,"Step Length"
"2_2",1,"1",0.21384605242433,"Turning Angle"
"2_2",2,"1",0.0986926982325265,"Turning Angle"
"2_2",3,"1",0.0982617223879549,"Turning Angle"
"2_2",4,"1",0.101725247562664,"Turning Angle"
"2_2",5,"1",0.0973518557024866,"Turning Angle"
"2_2",6,"1",0.0949609038090853,"Turning Angle"
"2_2",7,"1",0.0880669540872166,"Turning Angle"
"2_2",8,"1",0.207094565793736,"Turning Angle"
"2_2",1,"2",0.0650140197249169,"Turning Angle"
"2_2",2,"2",0.116419762424779,"Turning Angle"
"2_2",3,"2",0.130757609931159,"Turning Angle"
"2_2",4,"2",0.172576946816346,"Turning Angle"
"2_2",5,"2",0.139150927350408,"Turning Angle"
"2_2",6,"2",0.152844885162637,"Turning Angle"
"2_2",7,"2",0.174645691521556,"Turning Angle"
"2_2",8,"2",0.0485901570681989,"Turning Angle"
"2_2",1,"3",0.000339240365086256,"Turning Angle"
"2_2",2,"3",0.020501551163609,"Turning Angle"
"2_2",3,"3",0.19183132310356,"Turning Angle"
"2_2",4,"3",0.300470201793303,"Turning Angle"
"2_2",5,"3",0.313364462262774,"Turning Angle"
"2_2",6,"3",0.163503804090208,"Turning Angle"
"2_2",7,"3",0.00877606468002415,"Turning Angle"
"2_2",8,"3",0.00121335254143672,"Turning Angle"
"3_2",1,"1",0.129318555163154,"Step Length"
"3_2",2,"1",0.21412746893755,"Step Length"
"3_2",3,"1",0.539009053347927,"Step Length"
"3_2",4,"1",0.112206293554906,"Step Length"
"3_2",5,"1",0.00533862899646419,"Step Length"
"3_2",1,"2",0.51902574769279,"Step Length"
"3_2",2,"2",0.416600568552181,"Step Length"
"3_2",3,"2",0.010346621563984,"Step Length"
"3_2",4,"2",0.00395389069922007,"Step Length"
"3_2",5,"2",0.0500731714918249,"Step Length"
"3_2",1,"3",0.00335748057357606,"Step Length"
"3_2",2,"3",0.00129896468609374,"Step Length"
"3_2",3,"3",0.00171504975655891,"Step Length"
"3_2",4,"3",0.530661719704235,"Step Length"
"3_2",5,"3",0.462966785279536,"Step Length"
"3_2",1,"1",0.114946315619636,"Turning Angle"
"3_2",2,"1",0.125848949858579,"Turning Angle"
"3_2",3,"1",0.127109414213438,"Turning Angle"
"3_2",4,"1",0.147449432769705,"Turning Angle"
"3_2",5,"1",0.12505579454305,"Turning Angle"
"3_2",6,"1",0.125826038734016,"Turning Angle"
"3_2",7,"1",0.112451339203358,"Turning Angle"
"3_2",8,"1",0.121312715058218,"Turning Angle"
"3_2",1,"2",0.225448965716396,"Turning Angle"
"3_2",2,"2",0.0896018639828143,"Turning Angle"
"3_2",3,"2",0.0816122541641634,"Turning Angle"
"3_2",4,"2",0.0741833810981212,"Turning Angle"
"3_2",5,"2",0.100489519066662,"Turning Angle"
"3_2",6,"2",0.0737666897306707,"Turning Angle"
"3_2",7,"2",0.111688747679577,"Turning Angle"
"3_2",8,"2",0.243208578561595,"Turning Angle"
"3_2",1,"3",0.000295985165683858,"Turning Angle"
"3_2",2,"3",0.0415253265673906,"Turning Angle"
"3_2",3,"3",0.136937857597755,"Turning Angle"
"3_2",4,"3",0.285417386148078,"Turning Angle"
"3_2",5,"3",0.315831059849715,"Turning Angle"
"3_2",6,"3",0.170646816269342,"Turning Angle"
"3_2",7,"3",0.0487598885921765,"Turning Angle"
"3_2",8,"3",0.000585679809859458,"Turning Angle"
"4_2",1,"1",0.360077990322703,"Step Length"
"4_2",2,"1",0.370977873590683,"Step Length"
"4_2",3,"1",0.180051385892209,"Step Length"
"4_2",4,"1",0.0560741335665755,"Step Length"
"4_2",5,"1",0.0328186166278301,"Step Length"
"4_2",1,"2",0.000627807008230406,"Step Length"
"4_2",2,"2",0.00324391871446579,"Step Length"
"4_2",3,"2",0.744602921540372,"Step Length"
"4_2",4,"2",0.226401931573131,"Step Length"
"4_2",5,"2",0.0251234211638005,"Step Length"
"4_2",1,"3",0.00224871177541651,"Step Length"
"4_2",2,"3",0.025694761565653,"Step Length"
"4_2",3,"3",0.0102254571001105,"Step Length"
"4_2",4,"3",0.497354052012353,"Step Length"
"4_2",5,"3",0.464477017546467,"Step Length"
"4_2",1,"1",0.204762134617366,"Turning Angle"
"4_2",2,"1",0.107489089230093,"Turning Angle"
"4_2",3,"1",0.0993614546001894,"Turning Angle"
"4_2",4,"1",0.0987467516981268,"Turning Angle"
"4_2",5,"1",0.102471422874417,"Turning Angle"
"4_2",6,"1",0.09352862139916,"Turning Angle"
"4_2",7,"1",0.0938267430095071,"Turning Angle"
"4_2",8,"1",0.199813782571141,"Turning Angle"
"4_2",1,"2",0.0424918509202062,"Turning Angle"
"4_2",2,"2",0.15559781975477,"Turning Angle"
"4_2",3,"2",0.162665854587229,"Turning Angle"
"4_2",4,"2",0.149780763400768,"Turning Angle"
"4_2",5,"2",0.142977544539503,"Turning Angle"
"4_2",6,"2",0.188585006856601,"Turning Angle"
"4_2",7,"2",0.116912778305955,"Turning Angle"
"4_2",8,"2",0.0409883816349674,"Turning Angle"
"4_2",1,"3",0.00177755942696855,"Turning Angle"
"4_2",2,"3",0.0335519992494938,"Turning Angle"
"4_2",3,"3",0.121909737629938,"Turning Angle"
"4_2",4,"3",0.332691843827445,"Turning Angle"
"4_2",5,"3",0.333306463240413,"Turning Angle"
"4_2",6,"3",0.135662879027202,"Turning Angle"
"4_2",7,"3",0.0407752196064659,"Turning Angle"
"4_2",8,"3",0.00032429799207358,"Turning Angle"
"5_2",1,"1",0.1218720926217,"Step Length"
"5_2",2,"1",0.219447482951817,"Step Length"
"5_2",3,"1",0.489267189481969,"Step Length"
"5_2",4,"1",0.147084681661482,"Step Length"
"5_2",5,"1",0.0223285532830327,"Step Length"
"5_2",1,"2",0.538546276930025,"Step Length"
"5_2",2,"2",0.416008756693576,"Step Length"
"5_2",3,"2",0.00269283379269589,"Step Length"
"5_2",4,"2",0.00145283703652184,"Step Length"
"5_2",5,"2",0.0412992955471816,"Step Length"
"5_2",1,"3",0.000626196263414947,"Step Length"
"5_2",2,"3",0.0014194521954897,"Step Length"
"5_2",3,"3",0.00259970638072414,"Step Length"
"5_2",4,"3",0.554045345443421,"Step Length"
"5_2",5,"3",0.44130929971695,"Step Length"
"5_2",1,"1",0.114802378019402,"Turning Angle"
"5_2",2,"1",0.103330411319034,"Turning Angle"
"5_2",3,"1",0.132594217150388,"Turning Angle"
"5_2",4,"1",0.141713994736364,"Turning Angle"
"5_2",5,"1",0.140240301310051,"Turning Angle"
"5_2",6,"1",0.12141443075547,"Turning Angle"
"5_2",7,"1",0.133528427166701,"Turning Angle"
"5_2",8,"1",0.112375839542591,"Turning Angle"
"5_2",1,"2",0.234328057148513,"Turning Angle"
"5_2",2,"2",0.106433262048426,"Turning Angle"
"5_2",3,"2",0.068860616407239,"Turning Angle"
"5_2",4,"2",0.0817164285752592,"Turning Angle"
"5_2",5,"2",0.084701240278117,"Turning Angle"
"5_2",6,"2",0.0837292632404917,"Turning Angle"
"5_2",7,"2",0.09773641332941,"Turning Angle"
"5_2",8,"2",0.242494718972544,"Turning Angle"
"5_2",1,"3",0.000924231398238835,"Turning Angle"
"5_2",2,"3",0.0345680949434796,"Turning Angle"
"5_2",3,"3",0.151989998926052,"Turning Angle"
"5_2",4,"3",0.361100336573653,"Turning Angle"
"5_2",5,"3",0.28919109386784,"Turning Angle"
"5_2",6,"3",0.133108527585306,"Turning Angle"
"5_2",7,"3",0.0286175301479813,"Turning Angle"
"5_2",8,"3",0.000500186557447892,"Turning Angle"
"1_3",1,"1",0.354631253126168,"Step Length"
"1_3",2,"1",0.327747313667917,"Step Length"
"1_3",3,"1",0.217512425080002,"Step Length"
"1_3",4,"1",0.036929663005458,"Step Length"
"1_3",5,"1",0.0631793451204546,"Step Length"
"1_3",1,"2",0.0562605070680088,"Step Length"
"1_3",2,"2",0.169410162805273,"Step Length"
"1_3",3,"2",0.605925578008045,"Step Length"
"1_3",4,"2",0.168152839855798,"Step Length"
"1_3",5,"2",0.000250912262874787,"Step Length"
"1_3",1,"3",0.000937733887142054,"Step Length"
"1_3",2,"3",0.00135525985703187,"Step Length"
"1_3",3,"3",0.0123076462678339,"Step Length"
"1_3",4,"3",0.522644281430472,"Step Length"
"1_3",5,"3",0.46275507855752,"Step Length"
"1_3",1,"1",0.173064027981347,"Turning Angle"
"1_3",2,"1",0.111218681352193,"Turning Angle"
"1_3",3,"1",0.121232691566131,"Turning Angle"
"1_3",4,"1",0.113065070132699,"Turning Angle"
"1_3",5,"1",0.0866682696709645,"Turning Angle"
"1_3",6,"1",0.115246217388603,"Turning Angle"
"1_3",7,"1",0.137074799386624,"Turning Angle"
