"","id","SL.mu","absTA.mu","SL.sd","absTA.sd"
"LH...42","1_3",0.0288225569628414,3.014350046509,0.00147882880123316,0.0491024205989704
"HL...43","1_3",10.3252048813959,0.177353355799657,13.0711903408743,0.0200501350913761
"HH...44","1_3",5.6154446687523,1.87755495471676,16.5025927559728,0.831235886326914
"LL...45","2_3",1.15458892907054,1.60790235910886,0.82985005417395,0.984253788252791
"LH...46","2_3",0.0220265810025902,3.04882849839187,0.000828340310917349,0.0529665200397785
"HL...47","2_3",10.3317949042815,0.172305691692182,12.8357272554165,0.0191503245033298
"HH...48","2_3",5.93978163006071,1.86029977748719,16.8839260792948,0.815148587099655
"LL...49","3_3",1.13591937234994,1.56186072357084,0.747793362101585,1.0005939894753
"LH...50","3_3",0.02942572992517,3.02660378660641,0.00154229158638866,0.0445451374154303
"HL...51","3_3",10.299554597084,0.175295081876934,11.626652287799,0.0190214738915184
"HH...52","3_3",6.24643088997373,1.78301870524098,17.1691779467824,0.836993151727351
"LL...53","4_3",0.990031450249699,1.61964584575833,0.63909995151776,1.01261008589593
"LH...54","4_3",0.0261753638278381,3.02832884907543,0.00116721878488929,0.0455721669179639
"HL...55","4_3",10.1688683843278,0.168715993239101,13.068791282103,0.01996326338415
"HH...56","4_3",5.93318882753953,1.8181255888739,17.2095849842239,0.814800077736707
"LL...57","5_3",0.941368995201172,1.59088078311083,0.552639628941626,1.03649431111752
"LH...58","5_3",0.0285322162917492,3.00984141977852,0.00151891599943731,0.0376919467545551
"HL...59","5_3",10.2281416529748,0.166696530955831,12.7975727428149,0.0174435081635192
"HH...60","5_3",6.0174495444384,1.77102821959279,17.1073854524325,0.819121958742424
"LL...61","1_4",1.09299364051968,1.6346205424877,0.741437937852225,0.985850919013188
"LH...62","1_4",0.0244852574303191,3.03895694464755,0.00103538870369394,0.047880942190413
"HL...63","1_4",10.3748761300251,0.173993104515743,12.6287410977645,0.0196770300060011
"HH...64","1_4",6.29119858135969,1.78830668812368,17.5787499984917,0.810003578761632
"LL...65","2_4",1.02925981019698,1.59716396037931,0.678969681529799,1.01133067230579
"LH...66","2_4",0.026025080361822,3.02870850747994,0.00122506938365585,0.0417150097705186
"HL...67","2_4",10.3470649446348,0.170971706398123,12.8748333766359,0.0187726241571805
"HH...68","2_4",5.85118952185587,1.81036906572187,16.7945876111813,0.818033458211868
"LL...69","3_4",1.05848895343147,1.58505155932972,0.686898893918784,0.999613847197569
"LH...70","3_4",0.0285857643975109,3.02470079065527,0.0014294387478136,0.0406768395738236
"HL...71","3_4",10.3081756694027,0.16935543417849,13.2474219332726,0.0185533542388874
"HH...72","3_4",5.90259725417347,1.82366947868658,16.7155383090392,0.824581749964616
"LL...73","4_4",1.00632672017929,1.68333983774142,0.666490026528154,0.979027607611155
"LH...74","4_4",0.019314807363938,3.04958371278699,0.000673931136339912,0.0547258483983606
"HL...75","4_4",10.3042775824431,0.170587660998337,12.7606301938809,0.0183746451730704
"HH...76","4_4",6.0654602745178,1.80329102359553,16.9350742329871,0.822064625941647
"LL...77","5_4",1.00086031582777,1.59622316006084,0.661798028957038,1.0111971534207
"LH...78","5_4",0.0295248995807991,3.01947685272319,0.00156425248454468,0.0384120811669008
"HL...79","5_4",10.2608767562118,0.177283919694414,12.5833628466907,0.0204958198192771
"HH...80","5_4",6.07639902563859,1.83612626380329,18.3985795567764,0.812486434510757
